"_type","availability","category","list_price","name","part_number","price","quantity","rating","rating_count","seller","subcategory","thirdparty","uom","url"
"ProductItem","1","Dogs","","Dogwidgets DW17 Remote Dog Training Collar Beep Vibrate Shock WaterResistant Collar","102516476","34.99","","4.4118","34","Dog Widgets For Less Inc","Dog Training & Obedience","true","","https://www.walmart.com/product/102516476/sellers"
"ProductItem","1","Reptiles","","Flukers Reptile Vitamin with Beta Carotene 15 oz Pack of 4","101218892","31.27","4.0","","","Palatial Products","Fluker's Farms Reptile Food","true","pk","https://www.walmart.com/product/101218892/sellers"
"ProductItem","1","Dogs","","Pig Pet Costume","100022363","34.2","","","","Costume Zoo","Dog Apparel","true","","https://www.walmart.com/product/100022363/sellers"
"ProductItem","1","Horses","","Farnam SandClear Natural Psyllium Crumbles 3 lbs 2 Pack","101681580","84.24","2.0","","","VirVentures","Farnam Central Life","true","pk","https://www.walmart.com/product/101681580/sellers"
"ProductItem","1","Dogs","44.2","Dino Dog Pajamas Green XSmall","102614004","33.9","","","","UnbeatableSale","Dog Apparel","true","","https://www.walmart.com/product/102614004/sellers"
"ProductItem","1","Dogs","","NUTRO WHOLESOME ESSENTIALS Senior Small Breed Dry Dog Food FarmRaised Chicken Brown Rice Sweet Potato Recipe 5 lb Bag","100598888","14.96","5.0","4.6477","88","Walmart","Dog Food & Treats","false","lb","https://www.walmart.com/product/100598888/sellers"
"ProductItem","1","Horses","","Virkon S Disinfectant Swine Kennel Equipment Poultry Equine 10 Pounds","102512170","77.9","","","","Santa Cruz Animal Health","Horse Supplies","true","","https://www.walmart.com/product/102512170/sellers"
"ProductItem","1","Horses","","Virkon S Disinfectant Swine Kennel Equipment Poultry Equine 10 Pounds","102512170","80.99","","","","Piccard meds 4 pets Corp","Horse Supplies","true","","https://www.walmart.com/product/102512170/sellers"
"ProductItem","1","Horses","100.96","Virkon S Disinfectant Swine Kennel Equipment Poultry Equine 10 Pounds","102512170","77.56","","","","UnbeatableSale","Horse Supplies","true","","https://www.walmart.com/product/102512170/sellers"
"ProductItem","1","Birds","","Sunnydaze Outdoor Hanging Wild Bird Feeder Steel Wire Caged 4Peg 12Inch Black","101983847","41.95","","5.0","1","Walmart","Wild Bird Accessories","false","","https://www.walmart.com/product/101983847/sellers"
